Asset1,Asset2,Asset3,Asset7,Asset8,Asset9,B2B_purchase1,Capital1,CapitalRatio1,Cost1,Cost10,Cost11,Cost12,Cost13,Cost14,Cost15,Cost16,Cost17,Cost2,Cost3,Cost4,Cost5,Cost8,Cost9,Design1,Emp_female,Emp_male,Emp_total,EquityShareCapital,ITAssetC,Liability1,Liability2,Liability3,NProfitB4Tax,OutsourcingCost,Patent1,RNDcost1,RevProfit1,RevProfit2,TAssetC1,TAssetC2,TAssetC3,TAssetC4,TAssetC5,TAssetC6,TAssetC7,TAssetC8,TradeMark1,UMR1,emp2,emp3,emp4,emp6,emp66,emp7,emp8
6031,3389,,1547.0,189.0,6.0,,3160,0.0,0,21,708.0,59.0,8.0,1025,6.0,1.0,0.0,28504,6,28504.0,0.0,26625,58,0.0,786.0,193.0,979,500.0,4.0,2871,2863.0,8.0,357,,0.0,,28722,145,27.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,979,193.0,786.0,16,,10.0,6.0
10117,6549,,1015.0,52.0,38.0,,7465,0.0,14361,45,99.0,4.0,22.0,12256,2.0,0.0,2.0,1458,2,15819.0,0.0,3393,0,0.0,46.0,22.0,68,1000.0,0.0,2652,2558.0,94.0,897,14360.0,0.0,,16589,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,22.0,46.0,68,,22.0,46.0
32426,13158,,3919.0,9958.0,633.0,,25648,0.0,0,998,460.0,25.0,8.0,34973,917.0,26.0,35.0,47197,917,47197.0,0.0,9529,1204,0.0,41.0,117.0,158,3000.0,39.0,6778,6523.0,255.0,2631,,0.0,,49973,772,1046.0,0.0,0.0,0.0,931.0,0.0,115.0,0.0,4.0,0.0,126,115.0,11.0,9,11.0,9.0,
6943,5972,,331.0,122.0,,,1696,0.0,22806,63,42.0,4.0,11.0,10395,265.0,123.0,56.0,4110,265,26916.0,0.0,16221,180,,337.0,499.0,836,1000.0,0.0,5247,1298.0,3949.0,648,,,,27655,174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,836,499.0,337.0,27,,18.0,9.0
5787,3128,,872.0,993.0,1.0,,4205,0.0,489,63,283.0,14.0,0.0,1915,72.0,69.0,3.0,11404,72,11893.0,489.0,8924,205,0.0,11.0,379.0,390,2100.0,0.0,1582,1582.0,,368,,1.0,,11988,345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,57,49.0,8.0,44,,38.0,6.0
23040,15447,,68.0,970.0,1395.0,5815.0,14620,0.0,0,371,288.0,1.0,16.0,19074,91.0,0.0,33.0,27169,91,27169.0,0.0,6416,1003,0.0,20.0,62.0,82,3000.0,1131.0,8420,3872.0,4548.0,1361,14205.0,0.0,,28145,476,687.0,0.0,0.0,40.0,0.0,0.0,647.0,0.0,0.0,0.0,63,48.0,15.0,37,,30.0,7.0
7321,4348,,,1091.0,,,-5322,0.0,0,0,45.0,4493.0,0.0,5580,150.0,58.0,50.0,14343,150,14343.0,0.0,3868,357,0.0,72.0,36.0,108,4700.0,0.0,12643,12643.0,,-1856,,0.0,,12565,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,108,36.0,72.0,25,2.0,15.0,10.0
10442,6566,,2715.0,282.0,1.0,,1774,0.0,0,137,35.0,1705.0,0.0,6938,87.0,46.0,0.0,15868,87,15868.0,0.0,6382,671,0.0,60.0,80.0,140,900.0,,8668,8668.0,,829,,0.0,,16397,387,,,,,,,,,1.0,0.0,140,80.0,60.0,20,,10.0,10.0
7780,6751,,416.0,44.0,34.0,,5929,0.0,11417,110,303.0,0.0,-5.0,1424,10.0,0.0,0.0,396,10,11813.0,0.0,9365,616,0.0,301.0,99.0,400,3000.0,28.0,1851,1372.0,479.0,394,557.0,0.0,,12056,161,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,36,20.0,16.0,36,,20.0,16.0
2541,1695,646.0,1.0,85.0,,,1998,0.0,2980,45,5.0,0.0,1.0,301,1.0,1.0,0.0,536,1,3516.0,0.0,3136,28,0.0,62.0,113.0,175,600.0,0.0,543,357.0,186.0,332,,0.0,,3781,68,125.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,2.0,0.0,175,113.0,62.0,10,,8.0,2.0
